post_id,timestamp,media_type,caption,like_count,comment_count,reach,impressions,saves,shares,profile_visits,follows
post_1,2024-01-01T09:17:00,image,Photo drop #1 | Festive Edit | Festive edit with rich fabrics and comfy silhouettes.,1244,33,20587,21075,75,39,100,11
post_62,2024-03-02T18:06:00,reel,"Reel #62 | Customer Review | Styled by our customer community—real people, real fits.",2779,75,38745,39518,127,11,74,19
post_63,2024-03-03T15:08:00,carousel,Carousel lookbook #63 | Style Tip | How to style this piece three different ways.,3058,201,61451,62193,104,49,100,11
post_64,2024-03-04T18:40:00,reel,Reel #64 | Behind the Scenes | Behind the scenes from today’s studio shoot.,1821,155,39078,39418,22,7,147,23
post_65,2024-03-05T21:09:00,reel,Reel #65 | New Drop | New arrival from our summer collection. Limited pieces only.,1120,68,17350,18151,90,23,78,17
post_66,2024-03-06T19:11:00,reel,Reel #66 | Casual Look | Everyday casual fit you can wear on repeat.,226,200,3384,3767,78,56,127,8
post_67,2024-03-07T10:27:00,carousel,Carousel lookbook #67 | Workwear | Workwear that feels like loungewear but looks like power dressing.,1964,97,31374,32127,66,33,37,11
post_68,2024-03-08T16:29:00,image,Photo drop #68 | Style Tip | How to style this piece three different ways.,297,102,10450,10878,38,41,136,24
post_69,2024-03-09T21:52:00,carousel,"Carousel lookbook #69 | Customer Review | Styled by our customer community—real people, real fits.",1985,24,27976,28205,162,57,66,22
post_70,2024-03-10T22:30:00,reel,Reel #70 | New Drop | New arrival from our summer collection. Limited pieces only.,3132,75,49472,49937,150,45,33,12
post_71,2024-03-11T12:50:00,image,Photo drop #71 | Style Tip | How to style this piece three different ways.,2338,36,115536,115646,79,33,146,14
post_72,2024-03-12T15:45:00,reel,Reel #72 | Style Tip | How to style this piece three different ways.,1042,60,32967,33301,55,34,140,4
post_73,2024-03-13T15:04:00,reel,Reel #73 | Casual Look | Everyday casual fit you can wear on repeat.,2026,38,44766,45129,20,12,109,6
post_74,2024-03-14T12:05:00,image,Photo drop #74 | Festive Edit | Festive edit with rich fabrics and comfy silhouettes.,1905,113,84151,84982,10,28,28,4
post_75,2024-03-15T13:32:00,reel,Reel #75 | Festive Edit | Festive edit with rich fabrics and comfy silhouettes.,1837,123,54797,54961,58,17,45,1
post_76,2024-03-16T16:25:00,carousel,"Carousel lookbook #76 | Customer Review | Styled by our customer community—real people, real fits.",358,80,8415,8838,57,17,96,20
post_77,2024-03-17T16:23:00,image,Photo drop #77 | Casual Look | Everyday casual fit you can wear on repeat.,327,157,6264,6576,59,23,136,18
post_78,2024-03-18T12:54:00,reel,Reel #78 | Outfit Reel | Full outfit try-on from our latest launch.,1110,147,41670,42108,78,37,133,9
post_79,2024-03-19T15:46:00,reel,Reel #79 | Style Tip | How to style this piece three different ways.,2055,147,36372,37097,55,32,150,5
post_80,2024-03-20T12:49:00,image,Photo drop #80 | Outfit Reel | Full outfit try-on from our latest launch.,1876,139,78432,79225,85,21,75,25
post_81,2024-03-21T13:11:00,carousel,Carousel lookbook #81 | Sale Promo | Flash sale is live for 24 hours. Add to cart before it sells out.,2082,30,71331,71991,15,30,134,23
post_82,2024-03-22T19:59:00,image,Photo drop #82 | Outfit Reel | Full outfit try-on from our latest launch.,2251,54,35190,35601,85,18,56,15
post_83,2024-03-23T13:39:00,image,"Photo drop #83 | Weekend Outfit | Weekend-ready outfit for brunch, movies or a coffee run.",1219,106,24921,25623,107,8,94,25
post_84,2024-03-24T12:39:00,reel,Reel #84 | New Drop | New arrival from our summer collection. Limited pieces only.,1256,66,30960,31697,131,19,98,2
post_85,2024-03-25T10:15:00,image,"Photo drop #85 | Customer Review | Styled by our customer community—real people, real fits.",954,25,26052,26624,57,13,39,18
post_86,2024-03-26T17:03:00,carousel,Carousel lookbook #86 | Sale Promo | Flash sale is live for 24 hours. Add to cart before it sells out.,577,119,12888,13231,47,14,130,25
post_87,2024-03-27T11:37:00,reel,Reel #87 | Festive Edit | Festive edit with rich fabrics and comfy silhouettes.,256,156,7208,7751,72,16,51,7
post_88,2024-03-28T12:19:00,carousel,Carousel lookbook #88 | Workwear | Workwear that feels like loungewear but looks like power dressing.,2445,47,59157,59419,80,15,74,16
post_89,2024-03-29T20:07:00,image,Photo drop #89 | Behind the Scenes | Behind the scenes from today’s studio shoot.,1212,13,38870,39706,122,40,74,18
post_90,2024-03-30T19:51:00,image,"Photo drop #90 | Weekend Outfit | Weekend-ready outfit for brunch, movies or a coffee run.",3263,41,60416,60773,131,38,83,8
post_91,2024-03-31T11:39:00,image,Photo drop #91 | Sale Promo | Flash sale is live for 24 hours. Add to cart before it sells out.,193,35,6396,7021,53,42,33,6
post_92,2024-04-01T16:20:00,carousel,Carousel lookbook #92 | Style Tip | How to style this piece three different ways.,2177,164,64804,65002,71,5,51,9
post_93,2024-04-02T14:08:00,reel,Reel #93 | Workwear | Workwear that feels like loungewear but looks like power dressing.,1594,40,62468,63059,58,31,46,8
post_94,2024-04-03T14:59:00,carousel,Carousel lookbook #94 | Behind the Scenes | Behind the scenes from today’s studio shoot.,1345,154,24300,24505,7,28,110,15
post_95,2024-04-04T16:24:00,image,Photo drop #95 | Outfit Reel | Full outfit try-on from our latest launch.,1082,49,39744,40055,61,12,77,24
post_96,2024-04-05T21:27:00,reel,Reel #96 | Festive Edit | Festive edit with rich fabrics and comfy silhouettes.,1383,126,29602,30488,98,66,125,22
post_97,2024-04-06T19:00:00,carousel,Carousel lookbook #97 | Sale Promo | Flash sale is live for 24 hours. Add to cart before it sells out.,3939,118,59856,60114,155,48,128,23
post_98,2024-04-07T18:20:00,carousel,Carousel lookbook #98 | New Drop | New arrival from our summer collection. Limited pieces only.,2789,125,89276,90060,15,25,20,9
post_99,2024-04-08T11:51:00,reel,Reel #99 | Outfit Reel | Full outfit try-on from our latest launch.,2421,58,53325,53672,82,12,59,21
post_100,2024-04-09T13:50:00,reel,Reel #100 | Casual Look | Everyday casual fit you can wear on repeat.,2547,23,80457,81133,72,23,98,5
post_101,2024-04-10T10:14:00,carousel,Carousel lookbook #101 | Workwear | Workwear that feels like loungewear but looks like power dressing.,1582,33,51566,51837,68,23,132,18
post_102,2024-04-11T20:30:00,carousel,Carousel lookbook #102 | New Drop | New arrival from our summer collection. Limited pieces only.,534,102,8304,8879,91,26,41,17
post_103,2024-04-12T16:02:00,carousel,"Carousel lookbook #103 | Weekend Outfit | Weekend-ready outfit for brunch, movies or a coffee run.",1984,46,44523,44850,8,8,33,17
post_104,2024-04-13T17:32:00,reel,Reel #104 | Casual Look | Everyday casual fit you can wear on repeat.,3404,125,58131,58563,87,24,147,20
post_105,2024-04-14T12:52:00,image,Photo drop #105 | New Drop | New arrival from our summer collection. Limited pieces only.,2942,71,76024,76410,86,28,50,18
post_106,2024-04-15T22:25:00,reel,Reel #106 | Outfit Reel | Full outfit try-on from our latest launch.,1842,72,21508,21989,140,28,108,4
post_107,2024-04-16T18:28:00,image,Photo drop #107 | New Drop | New arrival from our summer collection. Limited pieces only.,1627,148,27795,28558,84,28,101,21
post_108,2024-04-17T10:10:00,carousel,Carousel lookbook #108 | Sale Promo | Flash sale is live for 24 hours. Add to cart before it sells out.,1490,120,40830,41383,88,24,66,19
post_109,2024-04-18T14:18:00,reel,"Reel #109 | Weekend Outfit | Weekend-ready outfit for brunch, movies or a coffee run.",1316,146,44156,44777,89,29,55,15
post_110,2024-04-19T16:33:00,image,Photo drop #110 | Outfit Reel | Full outfit try-on from our latest launch.,812,133,12780,13562,58,32,141,21
post_111,2024-04-20T12:13:00,reel,Reel #111 | New Drop | New arrival from our summer collection. Limited pieces only.,1471,95,24450,25179,32,29,78,14
post_112,2024-04-21T11:58:00,carousel,Carousel lookbook #112 | Casual Look | Everyday casual fit you can wear on repeat.,2345,140,45522,45627,18,56,73,22
post_113,2024-04-22T11:15:00,image,Photo drop #113 | Workwear | Workwear that feels like loungewear but looks like power dressing.,1489,89,42504,43292,54,27,31,18
post_114,2024-04-23T13:41:00,reel,Reel #114 | Outfit Reel | Full outfit try-on from our latest launch.,2948,134,64454,64889,39,30,24,6
post_115,2024-04-24T21:27:00,carousel,"Carousel lookbook #115 | Customer Review | Styled by our customer community—real people, real fits.",2920,48,31936,32545,10,9,117,3
post_116,2024-04-25T11:45:00,image,Photo drop #116 | Outfit Reel | Full outfit try-on from our latest launch.,1548,55,46345,46692,30,19,128,1
post_117,2024-04-26T09:04:00,carousel,Carousel lookbook #117 | Sale Promo | Flash sale is live for 24 hours. Add to cart before it sells out.,2620,112,103650,103891,33,43,137,19
post_118,2024-04-27T19:39:00,image,Photo drop #118 | Style Tip | How to style this piece three different ways.,3269,57,81444,81609,157,44,33,5
post_119,2024-04-28T16:37:00,carousel,Carousel lookbook #119 | Sale Promo | Flash sale is live for 24 hours. Add to cart before it sells out.,3412,57,71880,72208,51,19,36,9
post_120,2024-04-29T21:39:00,reel,Reel #120 | Style Tip | How to style this piece three different ways.,1792,105,16665,17462,60,42,107,4
post_121,2024-04-30T12:32:00,reel,Reel #121 | New Drop | New arrival from our summer collection. Limited pieces only.,451,90,7580,8470,107,43,147,13
post_122,2024-05-01T12:23:00,reel,Reel #122 | Workwear | Workwear that feels like loungewear but looks like power dressing.,1170,176,41034,41631,11,8,29,4
post_123,2024-05-02T10:57:00,reel,Reel #123 | Festive Edit | Festive edit with rich fabrics and comfy silhouettes.,1047,156,44448,45282,7,43,67,12
post_124,2024-05-03T20:57:00,image,Photo drop #124 | Outfit Reel | Full outfit try-on from our latest launch.,3596,68,83028,83393,19,46,19,3
post_125,2024-05-04T13:54:00,carousel,Carousel lookbook #125 | Style Tip | How to style this piece three different ways.,1631,150,52448,52894,27,15,133,22
post_126,2024-05-05T11:50:00,carousel,Carousel lookbook #126 | Casual Look | Everyday casual fit you can wear on repeat.,3662,120,125244,126102,109,33,142,21
post_127,2024-05-06T19:55:00,carousel,Carousel lookbook #127 | Behind the Scenes | Behind the scenes from today’s studio shoot.,1208,82,23577,24340,94,34,33,3
post_128,2024-05-07T16:56:00,image,Photo drop #128 | Workwear | Workwear that feels like loungewear but looks like power dressing.,1676,63,67782,68198,44,36,86,22
post_129,2024-05-08T17:37:00,carousel,Carousel lookbook #129 | New Drop | New arrival from our summer collection. Limited pieces only.,2453,34,98083,98882,23,12,137,14
post_130,2024-05-09T11:42:00,reel,Reel #130 | Style Tip | How to style this piece three different ways.,1478,48,37260,37447,20,48,87,11
post_131,2024-05-10T11:20:00,carousel,Carousel lookbook #131 | Festive Edit | Festive edit with rich fabrics and comfy silhouettes.,1586,30,39930,40610,13,43,115,12
post_132,2024-05-11T15:49:00,carousel,Carousel lookbook #132 | New Drop | New arrival from our summer collection. Limited pieces only.,1781,93,39336,39908,135,55,70,15
post_133,2024-05-12T10:13:00,image,Photo drop #133 | Outfit Reel | Full outfit try-on from our latest launch.,2862,105,51014,51435,36,27,35,13
post_134,2024-05-13T14:52:00,image,Photo drop #134 | Festive Edit | Festive edit with rich fabrics and comfy silhouettes.,1928,44,29370,29766,68,3,71,15
post_135,2024-05-14T15:10:00,reel,Reel #135 | Behind the Scenes | Behind the scenes from today’s studio shoot.,1603,23,40380,40932,39,4,25,12
post_136,2024-05-15T13:53:00,image,Photo drop #136 | Festive Edit | Festive edit with rich fabrics and comfy silhouettes.,2354,20,66744,67627,60,12,20,18
post_137,2024-05-16T11:07:00,image,Photo drop #137 | Outfit Reel | Full outfit try-on from our latest launch.,2496,152,116963,117593,5,6,38,8
post_138,2024-05-17T16:30:00,carousel,Carousel lookbook #138 | Casual Look | Everyday casual fit you can wear on repeat.,2725,118,57616,58426,71,42,39,1
post_139,2024-05-18T22:44:00,carousel,Carousel lookbook #139 | Behind the Scenes | Behind the scenes from today’s studio shoot.,1970,205,35640,36501,137,78,19,18
post_140,2024-05-19T11:11:00,image,Photo drop #140 | Behind the Scenes | Behind the scenes from today’s studio shoot.,1041,162,13584,14096,27,28,142,18
post_141,2024-05-20T16:46:00,reel,Reel #141 | Outfit Reel | Full outfit try-on from our latest launch.,682,73,26055,26873,54,8,67,12
post_142,2024-05-21T19:46:00,image,Photo drop #142 | Sale Promo | Flash sale is live for 24 hours. Add to cart before it sells out.,1803,178,54817,54953,109,45,131,8
post_143,2024-05-22T12:54:00,reel,Reel #143 | Style Tip | How to style this piece three different ways.,3011,180,95355,95809,22,18,65,2
post_144,2024-05-23T12:33:00,carousel,Carousel lookbook #144 | Casual Look | Everyday casual fit you can wear on repeat.,1065,55,29264,29786,46,16,41,1
post_145,2024-05-24T13:35:00,reel,Reel #145 | Festive Edit | Festive edit with rich fabrics and comfy silhouettes.,589,10,15925,16707,71,38,104,19
post_146,2024-05-25T13:29:00,reel,Reel #146 | Festive Edit | Festive edit with rich fabrics and comfy silhouettes.,1098,75,14880,15422,24,38,67,24
post_147,2024-05-26T09:44:00,image,Photo drop #147 | Festive Edit | Festive edit with rich fabrics and comfy silhouettes.,1046,38,24099,24516,112,33,83,19
post_148,2024-05-27T11:19:00,carousel,Carousel lookbook #148 | Outfit Reel | Full outfit try-on from our latest launch.,2529,143,112650,112790,48,24,87,13
post_149,2024-05-28T09:41:00,image,Photo drop #149 | Casual Look | Everyday casual fit you can wear on repeat.,363,95,7300,7665,14,37,70,2
post_150,2024-05-29T17:57:00,carousel,"Carousel lookbook #150 | Weekend Outfit | Weekend-ready outfit for brunch, movies or a coffee run.",2135,146,34034,34264,44,20,100,18
post_151,2024-05-30T15:17:00,carousel,Carousel lookbook #151 | Outfit Reel | Full outfit try-on from our latest launch.,2783,61,67368,68059,73,34,77,1
post_152,2024-05-31T11:59:00,reel,Reel #152 | Festive Edit | Festive edit with rich fabrics and comfy silhouettes.,2921,24,77940,78331,96,7,65,16
post_153,2024-06-01T11:57:00,carousel,"Carousel lookbook #153 | Customer Review | Styled by our customer community—real people, real fits.",2179,137,55195,55858,70,7,44,21
post_154,2024-06-02T19:40:00,carousel,Carousel lookbook #154 | Outfit Reel | Full outfit try-on from our latest launch.,2833,136,39312,39936,91,35,135,10
post_155,2024-06-03T20:34:00,carousel,"Carousel lookbook #155 | Weekend Outfit | Weekend-ready outfit for brunch, movies or a coffee run.",1511,126,47840,48722,121,36,123,23
post_156,2024-06-04T14:48:00,reel,Reel #156 | Workwear | Workwear that feels like loungewear but looks like power dressing.,420,36,13650,14317,26,44,89,16
post_157,2024-06-05T10:17:00,reel,Reel #157 | Style Tip | How to style this piece three different ways.,725,58,28888,29353,27,30,32,21
post_158,2024-06-06T21:42:00,image,"Photo drop #158 | Customer Review | Styled by our customer community—real people, real fits.",598,159,9592,10374,121,41,28,23
post_159,2024-06-07T16:44:00,image,Photo drop #159 | Casual Look | Everyday casual fit you can wear on repeat.,1235,22,30744,31379,28,16,26,21
post_160,2024-06-08T20:00:00,carousel,Carousel lookbook #160 | Outfit Reel | Full outfit try-on from our latest launch.,1204,133,21816,21953,145,36,137,13
post_161,2024-06-09T14:11:00,reel,Reel #161 | New Drop | New arrival from our summer collection. Limited pieces only.,1003,165,20730,21361,29,29,31,25
post_162,2024-06-10T19:34:00,image,Photo drop #162 | New Drop | New arrival from our summer collection. Limited pieces only.,3342,38,87949,88207,86,51,119,15
post_163,2024-06-11T09:03:00,image,Photo drop #163 | Style Tip | How to style this piece three different ways.,778,9,31200,32087,28,16,147,25
post_164,2024-06-12T22:52:00,image,Photo drop #164 | Behind the Scenes | Behind the scenes from today’s studio shoot.,3323,23,103240,103819,95,41,138,10
post_165,2024-06-13T10:08:00,reel,Reel #165 | Workwear | Workwear that feels like loungewear but looks like power dressing.,1281,39,45360,45819,82,18,112,11
post_166,2024-06-14T14:08:00,reel,Reel #166 | Style Tip | How to style this piece three different ways.,477,131,7440,8017,91,26,110,11
post_167,2024-06-15T20:31:00,carousel,Carousel lookbook #167 | Style Tip | How to style this piece three different ways.,4778,184,38240,38528,116,58,111,24
post_168,2024-06-16T16:33:00,reel,Reel #168 | Behind the Scenes | Behind the scenes from today’s studio shoot.,2557,210,73890,74221,121,51,101,22
post_169,2024-06-17T15:05:00,reel,"Reel #169 | Customer Review | Styled by our customer community—real people, real fits.",1266,65,20767,21083,87,28,124,24
post_170,2024-06-18T09:30:00,image,Photo drop #170 | Workwear | Workwear that feels like loungewear but looks like power dressing.,1548,21,22215,22778,10,23,38,13
post_171,2024-06-19T17:08:00,reel,Reel #171 | Outfit Reel | Full outfit try-on from our latest launch.,1463,45,26586,27451,28,45,33,12
post_172,2024-06-20T14:33:00,image,"Photo drop #172 | Weekend Outfit | Weekend-ready outfit for brunch, movies or a coffee run.",1675,131,56848,57165,73,8,89,9
post_173,2024-06-21T11:48:00,reel,Reel #173 | Behind the Scenes | Behind the scenes from today’s studio shoot.,3151,22,52248,52473,42,41,28,25
post_174,2024-06-22T12:08:00,reel,"Reel #174 | Weekend Outfit | Weekend-ready outfit for brunch, movies or a coffee run.",607,136,16170,16390,66,9,17,22
post_175,2024-06-23T17:12:00,image,"Photo drop #175 | Customer Review | Styled by our customer community—real people, real fits.",2988,92,91770,92234,98,30,122,20
post_176,2024-06-24T16:17:00,carousel,Carousel lookbook #176 | Style Tip | How to style this piece three different ways.,205,121,6336,6486,32,20,122,6
post_177,2024-06-25T14:21:00,reel,Reel #177 | Outfit Reel | Full outfit try-on from our latest launch.,810,56,24876,25292,34,34,130,17
post_178,2024-06-26T13:52:00,carousel,Carousel lookbook #178 | Casual Look | Everyday casual fit you can wear on repeat.,2625,113,69254,69729,85,21,28,24
post_179,2024-06-27T21:23:00,carousel,Carousel lookbook #179 | New Drop | New arrival from our summer collection. Limited pieces only.,1312,190,14195,14447,137,6,32,5
post_180,2024-06-28T12:14:00,carousel,Carousel lookbook #180 | Workwear | Workwear that feels like loungewear but looks like power dressing.,980,37,22504,23152,87,6,18,20
post_181,2024-06-29T17:51:00,image,Photo drop #181 | Outfit Reel | Full outfit try-on from our latest launch.,766,140,16704,17431,40,45,62,2
post_182,2024-06-30T10:30:00,carousel,"Carousel lookbook #182 | Customer Review | Styled by our customer community—real people, real fits.",1649,42,43173,43699,76,36,24,2
post_183,2024-07-01T20:01:00,carousel,Carousel lookbook #183 | Casual Look | Everyday casual fit you can wear on repeat.,1907,226,61691,62477,100,30,23,16
post_184,2024-07-02T20:38:00,carousel,"Carousel lookbook #184 | Customer Review | Styled by our customer community—real people, real fits.",2499,13,58940,59412,52,46,81,18
post_185,2024-07-03T14:54:00,image,Photo drop #185 | New Drop | New arrival from our summer collection. Limited pieces only.,1846,10,46722,47276,6,34,131,21
post_186,2024-07-04T17:59:00,image,Photo drop #186 | Festive Edit | Festive edit with rich fabrics and comfy silhouettes.,1758,100,77850,78496,52,24,110,23
post_187,2024-07-05T18:18:00,carousel,"Carousel lookbook #187 | Customer Review | Styled by our customer community—real people, real fits.",2861,105,112896,113277,108,33,65,25
